department,link
Отделение математических наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-51.ln-ru.dl-.pr-per
Отделение физических наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-79.ln-ru.dl-.pr-per
Отделение нанотехнологий и информационных технологий РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-336.ln-ru.dl-.pr-per
"Отделение энергетики, машиностроения, механики и процессов управления РАН",http://www.ras.ru/win/db/show_org.asp?P=.oi-208.ln-ru.dl-.pr-per
Отделение химии и наук о материалах РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-406.ln-ru.dl-.pr-per
Отделение биологических наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-512.ln-ru.dl-.pr-per
Отделение физиологических наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-2743.ln-ru.dl-.pr-per
Отделение наук о Земле РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-695.ln-ru.dl-.pr-per
Отделение общественных наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-852.ln-ru.dl-.pr-per
Отделение историко-филологических наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-805.ln-ru.dl-.pr-per
Отделение глобальных проблем и международных отношений РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-2701.ln-ru.dl-.pr-per
Отделение медицинских наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-3018.ln-ru.dl-.pr-per
Отделение сельскохозяйственных наук РАН,http://www.ras.ru/win/db/show_org.asp?P=.oi-512.ln-ru.dl-.pr-per
